id,species,quantity,description,url,latitude,longitude,location,sighted_at,created_at,updated_at,orca_type,orca_pod
5a049b7e686f743ec5040000,orca,5,"Spotted from the Edmonds-Kingston ferry, near fishing boats.",http://hotline.whalemuseum.org/sightings/5a049b7e686f743ec5040000,47.79953,-122.479967,,2017-11-09T18:11:00Z,2017-11-09T18:16:30Z,2017-11-14T22:20:45Z,unknown,
59d039a0686f743ec5020000,harbor porpoise,20,From the Inn at Langley looking east there was a very large group of porpoise swimming south in the Saratoga passage,http://hotline.whalemuseum.org/sightings/59d039a0686f743ec5020000,48.04744781,-122.404776,"Camano Island, WA, US",2017-10-01T00:38:00Z,2017-10-01T00:41:04Z,2017-10-03T22:01:43Z,unknown,
59ab6d65686f747484140000,humpback,1,"heading north in the Tacoma narrows,, between pt. evans and the entrance to gig harbor, saw its back and tail break the surface a couple times.",http://hotline.whalemuseum.org/sightings/59ab6d65686f747484140000,47.30728851,-122.5616745,"Gig Harbor, WA, US",2017-09-03T00:45:00Z,2017-09-03T02:48:05Z,2017-09-06T18:17:03Z,unknown,
597d058d686f7474840b0000,humpback,1,A large splash (breech?) first observed off Ketron Island at about 1345 hrs. Then at approximately 1400 hrs a smaller (adolecent?) Humpback (?) Whale was seen swimming North of Sunnyside Beach toward the Tacoma Narrows. ,http://hotline.whalemuseum.org/sightings/597d058d686f7474840b0000,47.16695978,-122.6145462,"Steilacoom, WA, US",2017-07-29T21:55:00Z,2017-07-29T22:00:45Z,2017-08-03T19:52:25Z,unknown,
596b516e686f747484090000,humpback,1,"On train near picnic point (south of Mukilteo) saw 2 breaches half mile off shore, very large baleen whale. Unable to confirm humpback due to limited viewing do to being on a train.",http://hotline.whalemuseum.org/sightings/596b516e686f747484090000,47.88457869,-122.3421196,"Edmonds, WA, US",2017-07-16T02:39:00Z,2017-07-16T11:43:42Z,2017-08-03T19:51:46Z,unknown,
594fc3d6686f747484060000,orca,14,Passing north close to shore at eagle point.  About three or four groups. 6 or 7 in the first group. Two  males. Some moms and babies. ,http://hotline.whalemuseum.org/sightings/594fc3d6686f747484060000,48.458409,-123.0412105,"Friday Harbor, WA, US",2017-06-25T14:02:00Z,2017-06-25T14:08:22Z,2017-06-29T22:27:57Z,unknown,
594192af686f747484040000,gray whale,1,"Observed a whale maybe gray, not orca from bluff about 3 miles north of edmonds ferry. 3-4 miles directly west between pt. no pt. & north edmonds/meadowdale. Jumping out of water and slapping its tail. Moving south. The ",http://hotline.whalemuseum.org/sightings/594192af686f747484040000,48.24079545,-122.9427627,"Coupeville, WA, US",2017-06-14T13:30:00Z,2017-06-14T19:46:55Z,2017-06-15T20:41:21Z,unknown,
5a84bbba686f74490f901d00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bbba686f74490f901d00,49.650783,-124.862267,,2016-11-28T20:30:00Z,2018-02-14T22:44:10Z,2018-02-14T22:44:10Z,offshore,
5a84ba92686f74490f4e1700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba92686f74490f4e1700,47.78,-122.44,"Kingston, WA, US",2016-11-14T20:28:00Z,2018-02-14T22:39:14Z,2018-02-14T22:39:14Z,southern resident,"j, k"
5a84ba91686f74490f481700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba91686f74490f481700,47.62,-122.45,"Bainbridge Island, WA, US",2016-11-14T18:09:00Z,2018-02-14T22:39:13Z,2018-02-14T22:39:13Z,southern resident,"j, k"
5a84bbb7686f74490f821d00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bbb7686f74490f821d00,49.12,-123.47,"Galiano Island, BC, CA",2016-10-26T22:08:00Z,2018-02-14T22:44:07Z,2018-02-14T22:44:07Z,southern resident,"j, k"
5a84bbb0686f74490f5e1d00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bbb0686f74490f5e1d00,48.874333,-123.305167,"Mayne Island, BC, CA",2016-10-26T16:36:00Z,2018-02-14T22:44:00Z,2018-02-14T22:44:00Z,offshore,
5a84ba90686f74490f441700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba90686f74490f441700,47.5,-122.43,,2016-10-24T22:40:00Z,2018-02-14T22:39:12Z,2018-02-14T22:39:12Z,southern resident,"j, k"
5a84ba90686f74490f461700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba90686f74490f461700,47.61,-122.44,"Seattle, WA, US",2016-10-24T19:43:00Z,2018-02-14T22:39:13Z,2018-02-14T22:39:13Z,southern resident,"j, k"
5a84bab7686f74490f121800,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bab7686f74490f121800,48.37257,-123.97769,"Port Renfrew, BC, CA",2016-10-16T19:00:00Z,2018-02-14T22:39:51Z,2018-02-14T22:39:51Z,offshore,
5a84bb9d686f74490ff61c00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb9d686f74490ff61c00,48.766667,-123.3195,"Pender Island, BC, CA",2016-10-12T21:30:00Z,2018-02-14T22:43:41Z,2018-02-14T22:43:41Z,southern resident,
5a84ba99686f74490f741700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba99686f74490f741700,48.26831,-123.79665,"Sooke, BC, CA",2016-10-10T21:36:00Z,2018-02-14T22:39:21Z,2018-02-14T22:39:21Z,southern resident,"k, l"
5a84ba97686f74490f6a1700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba97686f74490f6a1700,48.2648,-123.78545,"Sooke, BC, CA",2016-10-10T21:26:00Z,2018-02-14T22:39:19Z,2018-02-14T22:39:19Z,southern resident,"k, l"
5a84ba96686f74490f621700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba96686f74490f621700,48.26083,-123.77713,"Sooke, BC, CA",2016-10-10T21:16:00Z,2018-02-14T22:39:18Z,2018-02-14T22:39:18Z,southern resident,"k, l"
5a84ba95686f74490f601700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba95686f74490f601700,48.25871,-123.76636,,2016-10-10T21:06:00Z,2018-02-14T22:39:17Z,2018-02-14T22:39:17Z,southern resident,"k, l"
5a84ba95686f74490f5e1700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba95686f74490f5e1700,48.26,-123.77,"Sooke, BC, CA",2016-10-10T21:06:00Z,2018-02-14T22:39:17Z,2018-02-14T22:39:17Z,southern resident,"k, l"
5a84bb7a686f74490f381c00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb7a686f74490f381c00,48.630033,-123.165883,"Friday Harbor, WA, US",2016-10-09T18:15:00Z,2018-02-14T22:43:06Z,2018-02-14T22:43:06Z,offshore,
5a84bb5a686f74490f8c1b00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb5a686f74490f8c1b00,48.57527,-123.19423,"Friday Harbor, WA, US",2016-10-08T00:47:00Z,2018-02-14T22:42:34Z,2018-02-14T22:42:34Z,southern resident,"j, k"
5a84bb54686f74490f6a1b00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb54686f74490f6a1b00,48.57051,-123.18556,"Friday Harbor, WA, US",2016-10-08T00:37:00Z,2018-02-14T22:42:28Z,2018-02-14T22:42:28Z,southern resident,"j, k"
5a84bb4b686f74490f3a1b00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb4b686f74490f3a1b00,48.56501,-123.18562,,2016-10-08T00:27:00Z,2018-02-14T22:42:19Z,2018-02-14T22:42:19Z,southern resident,"j, k"
5a84bb4b686f74490f361b00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb4b686f74490f361b00,48.56409,-123.18642,"Friday Harbor, WA, US",2016-10-08T00:16:00Z,2018-02-14T22:42:19Z,2018-02-14T22:42:19Z,southern resident,"j, k"
5a84bb4b686f74490f381b00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb4b686f74490f381b00,48.56444,-123.18896,"Friday Harbor, WA, US",2016-10-08T00:06:00Z,2018-02-14T22:42:19Z,2018-02-14T22:42:19Z,southern resident,"j, k"
5a84bb65686f74490fc61b00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb65686f74490fc61b00,48.58441,-123.20204,,2016-10-07T23:56:00Z,2018-02-14T22:42:45Z,2018-02-14T22:42:45Z,southern resident,"j, k"
5a84bb6f686f74490ffa1b00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb6f686f74490ffa1b00,48.59637,-123.20663,"Friday Harbor, WA, US",2016-10-07T23:46:00Z,2018-02-14T22:42:55Z,2018-02-14T22:42:55Z,southern resident,"j, k"
5a84bb76686f74490f201c00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb76686f74490f201c00,48.61124,-123.19366,"Friday Harbor, WA, US",2016-10-07T23:36:00Z,2018-02-14T22:43:02Z,2018-02-14T22:43:02Z,southern resident,"j, k"
5a84bb7a686f74490f361c00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb7a686f74490f361c00,48.62812,-123.19139,,2016-10-07T23:27:00Z,2018-02-14T22:43:06Z,2018-02-14T22:43:06Z,southern resident,"j, k"
5a84baaa686f74490fd21700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84baaa686f74490fd21700,48.33203,-123.95464,"Shirley, BC, CA",2016-10-04T21:50:00Z,2018-02-14T22:39:38Z,2018-02-14T22:39:38Z,southern resident,
5a84baa5686f74490fb41700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84baa5686f74490fb41700,48.32,-123.95,"Port Renfrew, BC, CA",2016-10-04T21:41:00Z,2018-02-14T22:39:33Z,2018-02-14T22:39:33Z,southern resident,
5a84baab686f74490fd61700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84baab686f74490fd61700,48.33445,-123.97586,"Shirley, BC, CA",2016-10-04T21:40:00Z,2018-02-14T22:39:39Z,2018-02-14T22:39:39Z,southern resident,
5a84baa8686f74490fc61700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84baa8686f74490fc61700,48.32973,-123.96393,"Shirley, BC, CA",2016-10-04T21:31:00Z,2018-02-14T22:39:36Z,2018-02-14T22:39:36Z,southern resident,
5a84bb94686f74490fc21c00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb94686f74490fc21c00,48.735117,-123.1827,"Pender Island, BC, CA",2016-10-04T21:30:00Z,2018-02-14T22:43:32Z,2018-02-14T22:43:32Z,offshore,
5a84baa6686f74490fbc1700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84baa6686f74490fbc1700,48.32151,-123.95901,,2016-10-04T21:21:00Z,2018-02-14T22:39:34Z,2018-02-14T22:39:34Z,southern resident,
5a84bb98686f74490fda1c00,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84bb98686f74490fda1c00,48.752517,-123.31405,,2016-10-04T14:30:00Z,2018-02-14T22:43:36Z,2018-02-14T22:43:36Z,offshore,
5a84ba92686f74490f4c1700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba92686f74490f4c1700,47.66,-122.44,"Seattle, WA, US",2016-10-03T17:11:00Z,2018-02-14T22:39:14Z,2018-02-14T22:39:14Z,southern resident,"j, k"
5a84ba91686f74490f4a1700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba91686f74490f4a1700,47.63,-122.44,,2016-10-03T16:40:00Z,2018-02-14T22:39:13Z,2018-02-14T22:39:13Z,southern resident,"j, k"
5a84babc686f74490f301800,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84babc686f74490f301800,48.401667,-123.342667,"Victoria, BC, CA",2016-09-29T22:48:00Z,2018-02-14T22:39:56Z,2018-02-14T22:39:56Z,offshore,
5a84baa2686f74490fa81700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84baa2686f74490fa81700,48.31149,-123.51045,,2016-09-28T22:17:00Z,2018-02-14T22:39:30Z,2018-02-14T22:39:30Z,southern resident,l
5a84baa1686f74490f9e1700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84baa1686f74490f9e1700,48.29901,-123.53397,"Sooke, BC, CA",2016-09-28T22:07:00Z,2018-02-14T22:39:29Z,2018-02-14T22:39:29Z,southern resident,l
5a84baa0686f74490f9c1700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84baa0686f74490f9c1700,48.3,-123.53,"Sooke, BC, CA",2016-09-28T22:00:00Z,2018-02-14T22:39:28Z,2018-02-14T22:39:28Z,southern resident,l
5a84baa2686f74490fa41700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84baa2686f74490fa41700,48.30712,-123.65129,"Sooke, BC, CA",2016-09-28T21:47:00Z,2018-02-14T22:39:30Z,2018-02-14T22:39:30Z,southern resident,j
5a84ba9f686f74490f941700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba9f686f74490f941700,48.29261,-123.66766,"Sooke, BC, CA",2016-09-28T21:37:00Z,2018-02-14T22:39:27Z,2018-02-14T22:39:27Z,southern resident,j
5a84ba9c686f74490f841700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba9c686f74490f841700,48.27069,-123.67664,"Sooke, BC, CA",2016-09-28T21:27:00Z,2018-02-14T22:39:24Z,2018-02-14T22:39:24Z,southern resident,j
5a84ba9a686f74490f781700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba9a686f74490f781700,48.27,-123.67,"Sooke, BC, CA",2016-09-28T21:20:00Z,2018-02-14T22:39:22Z,2018-02-14T22:39:22Z,southern resident,j
5a84ba99686f74490f761700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba99686f74490f761700,48.26859,-123.67001,"Sooke, BC, CA",2016-09-28T21:17:00Z,2018-02-14T22:39:21Z,2018-02-14T22:39:21Z,southern resident,j
5a84ba92686f74490f501700,orca,,Imported by The Whale Museum.,http://hotline.whalemuseum.org/sightings/5a84ba92686f74490f501700,48.21611,-123.7167,,2016-09-26T21:48:00Z,2018-02-14T22:39:14Z,2018-02-14T22:39:14Z,southern resident,"k, l"
